id,sale_date,class_id,sale_quantity,brand_id,compartment,type_id,level_id,department_id,TR,gearbox_type,displacement,if_charging,price_level,price,driven_type_id,fuel_type_id,newenergy_type_id,emission_standards_id,if_MPV_id,if_luxurious_id,power,cylinder_number,engine_torque,car_length,car_width,car_height,total_quality,equipment_quality,rated_passenger,wheelbase,front_track,rear_track
1,201609,289403,94,12,2,1,1,1,6,MT,1.8,L,8-10W,9.5,1,1,1,1,2,1,98,4,170,4440,1833,1545,1695,1320,5,2700,1556,1562
2,201609,745137,435,637,3,2,1,2,6,DCT,1.6,L,10-15W,13.2,1,1,1,1,2,1,94,4,159,4534,1823,1483,1711,1336,5,2648,1553,1544
3,201609,714860,180,831,3,2,2,3,6,AT,1.8,L,10-15W,14.4,1,1,1,1,2,1,105,4,176,4720,1815,1465,1860,1459,5,2770,1579,1589
4,201609,175962,40,750,3,2,1,4,6,AT,1.6,L,10-15W,8.6,1,1,1,1,2,1,81,4,155,4475,1706,1469,1625,1145,5,2603,1460,1500
5,201609,270690,19,98,2,3,3,1,5,MT,1.5,L,5WL,-,2,1,1,1,1,1,82,4,146.5,4415,1685,1850,1825,1236,5,2720,1420,1440
6,201609,290854,53,537,2,1,1,5,0,CVT,2,L,15-20W,21,1,1,1,1,2,1,114,4,190,4585,1820,1685,2010,1540,5,2620,1580,1580
7,201609,692703,81,807,2,1,1,1,5,MT,1.3,T,10-15W,13.3,1,1,1,1,2,1,101,4,202,4510,1852,1677,1900,1450,5,2650,1575,1570
8,201609,978089,37,12,2,2,1,1,5,MT,1.5,L,5-8W,8.9,1,1,1,1,2,1,80,4,140,4425,1789,1470,1611,1236,5,2650,1502,1492
9,201609,219195,115,638,2,1,3,1,6,AT,1.5,T,10-15W,11.1,1,1,1,1,2,1,110,4,210,4335,1814,1695,1895,1520,5,2560,1525,1520
10,201609,851857,78,75,2,1,2,2,8,AT,2,T,25-35W,44.8,3,1,1,1,2,2,193,4,400,4812,1903,1680,2375,1885,5,2857,1645,1645
11,201609,304458,17,106,3,2,1,5,5,MT,1.6,L,10-15W,10.4,1,1,1,1,2,1,90,4,154,4630,1775,1480,1770,1265,5,2700,1535,1535
12,201609,349023,10,450,3,2,1,2,5,MT,1.5,L,10-15W,14,1,1,1,1,2,1,84,4,146,4567,1786,1456,1700,1195,5,2662,1540,1558
13,201609,281792,10,872,2,2,1,4,7,DCT,1.8,T,25-35W,18.3,1,1,1,1,2,2,132,4,300,4319,1785,1441,1885,1435,5,2629,1539,1509
14,201609,510309,83,953,2,1,2,4,9,AT,2,T,35-50W,44.3,3,1,1,1,2,2,155,4,350,4661,1898,1664,2360,1860,5,2873,1617,1613
